title,description,roll,image,type
Tip-off,A security guard's supcision has raised after something your con man has said,15,https://investigativeacademy.com/wp-content/uploads/2018/11/What-are-the-Physical-Requirements-to-be-a-Security-Guard.jpg,Situation
System Access Denied,"Your hacker's access to the camera systems is about to be denied. Your team will be exposed. If hacker is not detained, hacker may choose to roll once more. If roll result is greater than 5, add result to team roll total.",20,https://www.nimbleplanet.com/wp-content/uploads/2017/03/bank-cctv-systems.jpg,Situation
Civilian Call,A civilian is about to call 911. Muscle gains +2 to his or her roll result.,25,https://i2.wp.com/clark.com/wp-content/uploads/2030/02/SwitchCellPhoneCarrier.jpg?fit=874%2C400&ssl=1,Situation
Hacker Offline,"Your hacker’s systems are acting up and need to reset. If hacker’s roll result is not greater than 5, hacker cannot will be able to participate in next situation. Add hacker’s rolls result to your risk pool.",15,https://cdn.wccftech.com/wp-content/uploads/2017/10/bank-job.jpg,Situation
Cleanest Execution,Your team has succesfully executed this round. Proceeed to the next round.,N/A,https://cdn.wccftech.com/wp-content/uploads/2017/10/bank-job.jpg,Situation
You Dirty Rat,"One of your auxiallary teammates has abanadoned the team and planning to leak information about the job. You'll need to shut him up for good. If your Mastermind is not out this round, he or she may roll 1 more dice roll, but will be out the next round.",30,https://i.pinimg.com/originals/f4/72/d9/f472d9b0af3aec5c5ba8900e85f8587d.jpg,Situation
Roll Camera,Camera systems need their video feed replaced with fake footage to hide your movement.,20,https://www.nimbleplanet.com/wp-content/uploads/2017/03/bank-cctv-systems.jpg,Situation
Bank Alarm,The alarm is ringing throughout the bank. Squelch it. Only Mastermind and Muscle may roll.,15,https://goodschoolhunting.org/wp-content/uploads/2019/06/stopwatch-alarm.jpg,Situation
Brawn vs. Brain,"Your Muscle is lost. If yout team roll result is under 10, you must undergo a new situation before moving to the next round.",15,https://cdn.wccftech.com/wp-content/uploads/2017/10/bank-job.jpg,Situation
Take 'Em Out,Security has started going after you. Time to tie the cops up. Your muscle will be out next round.,20,https://cdn.wccftech.com/wp-content/uploads/2017/10/bank-job.jpg,Situation
Missing Equipment,Needed equipment has gone missing. Mastermind cannot roll this round.,20,https://cdn.wccftech.com/wp-content/uploads/2017/10/bank-job.jpg,Situation
Familiar Face,Someone has recognized your con man.,15,https://cdn.wccftech.com/wp-content/uploads/2017/10/bank-job.jpg,Situation
Trip and Fall,Your muscle has tripped and fallen.,10,https://cdn.wccftech.com/wp-content/uploads/2017/10/bank-job.jpg,Situation
Decoy Vault,The bank's vaul you're trying to open turns out to be the wrong one.,30,https://cdn.wccftech.com/wp-content/uploads/2017/10/bank-job.jpg,Situation
Don't Be A Hero,Your auxiallary muscle has bit off more than he can chew rounding up civilians. They're planning to fight back.,20,https://cdn.wccftech.com/wp-content/uploads/2017/10/bank-job.jpg,Situation
Civilian Intervention,A civlian has detained your Mastermind and must sit out this round. He must roll a 5 or higher to play the next round.,25,https://cdn.wccftech.com/wp-content/uploads/2017/10/bank-job.jpg,Situation
Hostage Situation,"The cops have surrounded the building, and you must trade hostages to buy time. You must draw another and complete a situation card after this one to proceed to the next round.",15,http://images.clipartpanda.com/hostage-clipart-hostage-illustration-poor-32561485.jpg,Situation
Data Anonmaly,ERROR,10,https://cdn.wccftech.com/wp-content/uploads/2017/10/bank-job.jpg,Situation